household_id,timestamp,energy_kwh,temperature,humidity,is_holiday,hour,day_of_week,month,is_weekend
HH_001,2025-01-01 00:00:00,0.4240237469313753,8.400396388084163,76.51144562432985,1,0,2,1,0
HH_001,2025-01-01 01:00:00,0.5156862893175159,7.048327016792019,70.19095471733363,1,1,2,1,0
HH_001,2025-01-01 02:00:00,0.4055421723878676,8.090959580856108,70.67762711282234,1,2,2,1,0
HH_001,2025-01-01 03:00:00,0.4122225474230631,9.540268253160834,75.8134600335424,1,3,2,1,0
HH_001,2025-01-01 04:00:00,0.4730789352521223,7.30409509648231,73.40419560917528,1,4,2,1,0
HH_001,2025-01-01 05:00:00,0.4785425432104529,7.939794213535108,71.4688838109816,1,5,2,1,0
HH_001,2025-01-01 06:00:00,0.7159869042731164,11.488245996966157,74.88717026513088,1,6,2,1,0
HH_001,2025-01-01 07:00:00,0.7434276586762847,11.23530268702435,71.24499617590631,1,7,2,1,0
HH_001,2025-01-01 08:00:00,0.675104581071186,10.41521519480264,69.5976587738158,1,8,2,1,0
HH_001,2025-01-01 09:00:00,0.3114399800718423,12.9685430194941,70.53744111892051,1,9,2,1,0
HH_001,2025-01-01 10:00:00,0.3614421131551536,12.424300234486376,65.91495962831677,1,10,2,1,0
HH_001,2025-01-01 11:00:00,0.3212214031551301,13.249259268095871,70.75173101986971,1,11,2,1,0
HH_001,2025-01-01 12:00:00,0.2279330974938679,14.946471796191874,62.91922180528313,1,12,2,1,0
HH_001,2025-01-01 13:00:00,0.3353648817559246,12.113209711874646,66.7746298459862,1,13,2,1,0
HH_001,2025-01-01 14:00:00,0.292332910316067,12.532050024935518,68.941785129127,1,14,2,1,0
HH_001,2025-01-01 15:00:00,0.228833227931027,14.139698784999885,60.67195617914364,1,15,2,1,0
HH_001,2025-01-01 16:00:00,0.307857054827407,13.064281708341188,64.2533591474248,1,16,2,1,0
HH_001,2025-01-01 17:00:00,0.8787598415111353,14.419224897344169,69.47279624210871,1,17,2,1,0
HH_001,2025-01-01 18:00:00,1.005294168756154,11.757390660423251,70.51202025634053,1,18,2,1,0
HH_001,2025-01-01 19:00:00,0.9959596882918288,10.036247402112217,67.68346839549064,1,19,2,1,0
HH_001,2025-01-01 20:00:00,0.8876838184516452,13.3178999270874,67.23627333211688,1,20,2,1,0
HH_001,2025-01-01 21:00:00,1.2512824307625283,9.745486142565182,73.55042549663186,1,21,2,1,0
HH_001,2025-01-01 22:00:00,0.5455907552681881,9.220719080736956,75.39093392089228,1,22,2,1,0
HH_001,2025-01-01 23:00:00,0.6809867465251257,6.153877369638695,69.3404091173057,1,23,2,1,0
HH_001,2025-01-02 00:00:00,0.5684651716434338,6.76093139072538,70.02437744494071,0,0,3,1,0
HH_001,2025-01-02 01:00:00,0.5455887575075096,7.344287672059436,74.79141046581287,0,1,3,1,0
HH_001,2025-01-02 02:00:00,0.5559130068072872,5.315116726517456,76.16727835396122,0,2,3,1,0
HH_001,2025-01-02 03:00:00,0.4674367908957006,7.741450815013145,73.21843316417191,0,3,3,1,0
